year	orth	pron	rank	gender	freq
1912	千代		1	F	
1912	ハル		2	F	
1912	ハナ		3	F	
1912	正子		4	F	
1912	文子		5	F	
1912	ヨシ		6	F	
1912	千代子		7	F	
1912	キヨ		8	F	
1912	静子		9	F	
1912	はる		10	F	
1912	正一		1	M	
1912	清		2	M	
1912	正雄		3	M	
1912	正		4	M	
1912	茂		5	M	
1912	武雄		6	M	
1912	正治		7	M	
1912	三郎		8	M	
1912	正夫		9	M	
1912	一郎		10	M	
1913	正子		1	F	
1913	千代		2	F	
1913	静子		3	F	
1913	キヨ		4	F	
1913	文子		5	F	
1913	ヨシ		6	F	
1913	ハル		7	F	
1913	フミ		8	F	
1913	マサ		9	F	
1913	きみ		10	F	
1913	正二		1	M	
1913	茂		2	M	
1913	正雄		3	M	
1913	正		4	M	
1913	清		5	M	
1913	三郎		6	M	
1913	正一		7	M	
1913	武雄		8	M	
1913	義雄		9	M	
1913	正男		10	M	
1914	静子		1	F	
1914	キヨ		2	F	
1914	千代子		3	F	
1914	ハル		4	F	
1914	きよ		5	F	
1914	ヨシ		6	F	
1914	キミ		7	F	
1914	トミ		8	F	
1914	フミ		9	F	
1914	光子		10	F	
1914	正三		1	M	
1914	清		2	M	
1914	正雄		3	M	
1914	三郎		4	M	
1914	正		5	M	
1914	正一		6	M	
1914	勇		7	M	
1914	実		8	M	
1914	秀雄		9	M	
1914	茂		10	M	
1915	千代		1	F	
1915	千代子		2	F	
1915	文子		3	F	
1915	静子		4	F	
1915	キヨ		5	F	
1915	ハル		6	F	
1915	清子		7	F	
1915	きよ		8	F	
1915	きみ		9	F	
1915	はる		10	F	
1915	清		1	M	
1915	三郎		2	M	
1915	茂		3	M	
1915	正雄		4	M	
1915	正		5	M	
1915	実		6	M	
1915	武雄		7	M	
1915	一郎		8	M	
1915	義雄		9	M	
1915	正一		10	M	
1916	文子		1	F	
1916	千代子		2	F	
1916	千代		3	F	
1916	清子		4	F	
1916	キミ		5	F	
1916	八重子		6	F	
1916	フミ		7	F	
1916	キヨ		8	F	
1916	静子		9	F	
1916	貞子		10	F	
1916	辰雄		1	M	
1916	清		2	M	
1916	三郎		3	M	
1916	勇		4	M	
1916	一郎		5	M	
1916	茂		6	M	
1916	実		7	M	
1916	正雄		8	M	
1916	秀雄		9	M	
1916	辰男		10	M	
1917	千代子		1	F	
1917	キヨ		2	F	
1917	キミ		3	F	
1917	文子		4	F	
1917	八重子		5	F	
1917	愛子		6	F	
1917	静子		7	F	
1917	ハル		8	F	
1917	美代子		9	F	
1917	貞子		10	F	
1917	三郎		1	M	
1917	清		2	M	
1917	勇		3	M	
1917	一郎		4	M	
1917	実		5	M	
1917	正雄		6	M	
1917	博		7	M	
1917	正一		8	M	
1917	正		9	M	
1917	茂		10	M	
1918	久子		1	F	
1918	静子		2	F	
1918	千代子		3	F	
1918	キミ		4	F	
1918	文子		5	F	
1918	清子		6	F	
1918	キヨ		7	F	
1918	貞子		8	F	
1918	千代		9	F	
1918	ハル		10	F	
1918	清		1	M	
1918	三郎		2	M	
1918	勇		3	M	
1918	一郎		4	M	
1918	義雄		5	M	
1918	実		6	M	
1918	茂		7	M	
1918	正		8	M	
1918	博		9	M	
1918	正雄		10	M	
1919	久子		1	F	
1919	千代子		2	F	
1919	和子		3	F	
1919	貞子		4	F	
1919	静子		5	F	
1919	文子		6	F	
1919	ヨシ		7	F	
1919	キヨ		8	F	
1919	清子		9	F	
1919	キミ		10	F	
1919	三郎		1	M	
1919	清		2	M	
1919	勇		3	M	
1919	実		4	M	
1919	一郎		5	M	
1919	義雄		6	M	
1919	正雄		7	M	
1919	正		8	M	
1919	茂		9	M	
1919	弘		10	M	
1920	文子		1	F	
1920	久子		2	F	
1920	千代子		3	F	
1920	静子		4	F	
1920	貞子		5	F	
1920	芳子		6	F	
1920	愛子		7	F	
1920	清子		8	F	
1920	キヨ		9	F	
1920	君子		10	F	
1920	清		1	M	
1920	茂		2	M	
1920	三郎		3	M	
1920	勇		4	M	
1920	実		5	M	
1920	一郎		6	M	
1920	博		7	M	
1920	弘		8	M	
1920	正		9	M	
1920	正雄		10	M	
1921	文子		1	F	
1921	千代子		2	F	
1921	清子		3	F	
1921	久子		4	F	
1921	芳子		5	F	
1921	静子		6	F	
1921	幸子		7	F	
1921	美代子		8	F	
1921	敏子		9	F	
1921	愛子		10	F	
1921	清		1	M	
1921	三郎		2	M	
1921	茂		3	M	
1921	勇		4	M	
1921	博		5	M	
1921	一郎		6	M	
1921	実		7	M	
1921	弘		8	M	
1921	正		9	M	
1921	正雄		10	M	
1922	文子		1	F	
1922	幸子		2	F	
1922	美代子		3	F	
1922	清子		4	F	
1922	千代子		5	F	
1922	静子		6	F	
1922	愛子		7	F	
1922	久子		8	F	
1922	光子		9	F	
1922	敏子		10	F	
1922	清		1	M	
1922	三郎		2	M	
1922	勇		3	M	
1922	博		4	M	
1922	茂		5	M	
1922	正		6	M	
1922	一郎		7	M	
1922	実		8	M	
1922	弘		9	M	
1922	秀雄		10	M	
1923	文子		1	F	
1923	千代子		2	F	
1923	幸子		3	F	
1923	清子		4	F	
1923	久子		5	F	
1923	美代子		6	F	
1923	愛子		7	F	
1923	光子		8	F	
1923	静子		9	F	
1923	貞子		10	F	
1923	清		1	M	
1923	三郎		2	M	
1923	勇		3	M	
1923	茂		4	M	
1923	博		5	M	
1923	一郎		6	M	
1923	実		7	M	
1923	正		8	M	
1923	弘		9	M	
1923	進		10	M	
1924	幸子		1	F	
1924	文子		2	F	
1924	千代子		3	F	
1924	愛子		4	F	
1924	美代子		5	F	
1924	清子		6	F	
1924	信子		7	F	
1924	敏子		8	F	
1924	久子		9	F	
1924	静子		10	F	
1924	清		1	M	
1924	茂		2	M	
1924	三郎		3	M	
1924	勇		4	M	
1924	博		5	M	
1924	実		6	M	
1924	弘		7	M	
1924	一郎		8	M	
1924	正		9	M	
1924	武		10	M	
1925	幸子		1	F	
1925	文子		2	F	
1925	美代子		3	F	
1925	久子		4	F	
1925	芳子		5	F	
1925	愛子		6	F	
1925	信子		7	F	
1925	和子		8	F	
1925	千代子		9	F	
1925	八重子		10	F	
1925	清		1	M	
1925	茂		2	M	
1925	勇		3	M	
1925	三郎		4	M	
1925	博		5	M	
1925	実		6	M	
1925	弘		7	M	
1925	正		8	M	
1925	一郎		9	M	
1925	進		10	M	
1926	久子		1	F	
1926	幸子		2	F	
1926	美代子		3	F	
1926	照子		4	F	
1926	文子		5	F	
1926	和子		6	F	
1926	信子		7	F	
1926	千代子		8	F	
1926	光子		9	F	
1926	貞子		10	F	
1926	清		1	M	
1926	勇		2	M	
1926	博		3	M	
1926	実		4	M	
1926	茂		5	M	
1926	三郎		6	M	
1926	弘		7	M	
1926	正		8	M	
1926	進		9	M	
1926	一男		10	M	
1927	和子		1	F	
1927	昭子		2	F	
1927	久子		3	F	
1927	照子		4	F	
1927	幸子		5	F	
1927	美代子		6	F	
1927	光子		7	F	
1927	文子		8	F	
1927	信子		9	F	
1927	節子		10	F	
1927	昭二		1	M	
1927	昭		2	M	
1927	和夫		3	M	
1927	清		4	M	
1927	昭一		5	M	
1927	博		6	M	
1927	勇		7	M	
1927	茂		8	M	
1927	実		9	M	
1927	弘		10	M	
1928	和子		1	F	
1928	節子		2	F	
1928	幸子		3	F	
1928	久子		4	F	
1928	昭子		5	F	
1928	美代子		6	F	
1928	照子		7	F	
1928	典子		8	F	
1928	文子		9	F	
1928	信子		10	F	
1928	昭三		1	M	
1928	茂		2	M	
1928	昭		3	M	
1928	清		4	M	
1928	勇		5	M	
1928	辰雄		6	M	
1928	博		7	M	
1928	弘		8	M	
1928	三郎		9	M	
1928	和夫		10	M	
1929	和子		1	F	
1929	幸子		2	F	
