year	gender	count
2004	F	4419
2004	M	4861
2005	F	4082
2005	M	4292
2006	F	4167
2006	M	4409
2007	F	4204
2007	M	4591
2008	F	4275
2008	M	4621
2009	F	4254
2009	M	4595
2010	F	3805
2010	M	4078
2011	F	3503
2011	M	3648
2012	F	3222
2012	M	3388
2013	F	5026
2013	M	5338
2014	F	3273
2014	M	3481
2015	F	4122
2015	M	4278
2016	F	8509
2016	M	8947
2017	F	8030
2017	M	8300
2018	F	9481
2018	M	9796
2019	F	8407
2019	M	8455
2020	F	8825
2020	M	9172
2021	F	8501
2021	M	8637
2022	F	8561
2022	M	8952
2023	F	6951
2023	M	6957
2024	F	7017
2024	M	7308
