year,rank,name,count,per,sex,code,data_type,gender,yomi
1938,1.0,勝,,,m,21213,names,male,
1938,2.0,進,,,m,36914,names,male,
1938,3.0,弘,,,m,24344,names,male,
1938,4.0,勇,,,m,21191,names,male,
1938,5.0,清,,,m,28165,names,male,
1938,6.0,勲,,,m,21234,names,male,
1938,7.0,武,,,m,27494,names,male,
1938,8.0,博,,,m,21338,names,male,
1938,9.0,功,,,m,21151,names,male,
1938,10.0,実,,,m,23455,names,male,
1938,1.0,和子,,,f,21644_23376,names,female,
1938,2.0,幸子,,,f,24184_23376,names,female,
1938,3.0,節子,,,f,31680_23376,names,female,
1938,4.0,弘子,,,f,24344_23376,names,female,
1938,5.0,洋子,,,f,27915_23376,names,female,
1938,6.0,京子,,,f,20140_23376,names,female,
1938,7.0,悦子,,,f,24742_23376,names,female,
1938,8.0,美智子,,,f,32654_26234_23376,names,female,
1938,9.0,久子,,,f,20037_23376,names,female,
1938,10.0,栄子,,,f,26628_23376,names,female,
2009,1.0,大翔,38.0,0.0083,m,22823_32724,names,male,
2009,2.0,翔,22.0,0.0048,m,32724,names,male,
2009,3.0,瑛太,21.0,0.0046,m,29787_22826,names,male,
2009,3.0,大和,21.0,0.0046,m,22823_21644,names,male,
2009,5.0,蓮,20.0,0.0044,m,34030,names,male,
2009,6.0,悠真,18.0,0.0039,m,24736_30495,names,male,
2009,6.0,陽斗,18.0,0.0039,m,38525_26007,names,male,
2009,8.0,悠斗,17.0,0.0037,m,24736_26007,names,male,
2009,9.0,颯太,16.0,0.0035,m,39087_22826,names,male,
2009,9.0,颯真,16.0,0.0035,m,39087_30495,names,male,
2009,11.0,琉生,15.0,0.0033,m,29705_29983,names,male,
2009,12.0,蒼空,14.0,0.003,m,33980_31354,names,male,
2009,12.0,陸,14.0,0.003,m,38520,names,male,
2009,14.0,悠翔,13.0,0.0028,m,24736_32724,names,male,
2009,14.0,陽向,13.0,0.0028,m,38525_21521,names,male,
2009,14.0,翔太,13.0,0.0028,m,32724_22826,names,male,
2009,17.0,瑛翔,12.0,0.0026,m,29787_32724,names,male,
2009,17.0,大輝,12.0,0.0026,m,22823_36637,names,male,
2009,17.0,優斗,12.0,0.0026,m,20778_26007,names,male,
2009,20.0,響,11.0,0.0024,m,38911,names,male,
2009,20.0,大河,11.0,0.0024,m,22823_27827,names,male,
2009,20.0,優真,11.0,0.0024,m,20778_30495,names,male,
2009,20.0,悠人,11.0,0.0024,m,24736_20154,names,male,
2009,20.0,陸斗,11.0,0.0024,m,38520_26007,names,male,
